sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
G0256_2560	G0256	6.3684/2.0228/6.3282/4.247	3.0165/0/3.0731/2.6801	4.3258	1.1877	-1.2836	4.4972	11.839	0.91207	0.085448	0.91455	0.1709	0.9999	False
G0309_3084	G0309	0.90976/4.0456/4.5202/6.3705	0/4.7851/3.0731/0	3.2447	0.52746	-1.4745	5.8303	8.8798	0.91184	0.049676	0.95032	0.099353	0.9999	False
G0565_5650	G0565	0.90976/1.3485/3.6161/12.741	1.5082/10.368/6.1461/8.0402	2.7904	5.3089	0.73504	35.104	7.6366	0.91137	0.78541	0.21459	0.42919	0.9999	True
G0500_4995	G0500	6.3684/4.0456/4.5202/8.494	4.5247/7.1776/6.1461/0	5.6123	2.0413	-1.1205	4.1743	15.359	0.91118	0.11368	0.88632	0.22736	0.9999	False
G0851_8501	G0851	2.7293/2.6971/6.3282/6.3705	0/1.595/4.0974/2.6801	4.1594	1.0859	-1.3065	4.592	11.383	0.91097	0.081168	0.91883	0.16234	0.9999	False
G0079_781	G0079	2.7293/8.0913/9.9444/6.3705	7.5412/8.7726/13.317/10.72	6.1298	9.8603	0.60714	10.007	16.776	0.91082	0.80574	0.19426	0.38852	0.9999	True
G0110_1097	G0110	13.646/6.7427/12.656/2.1235	13.574/13.558/10.244/8.0402	7.087	11.098	0.58111	32.934	19.395	0.9108	0.8085	0.1915	0.383	0.9999	True
G0643_6422	G0643	0.90976/4.0456/1.8081/2.1235	1.5082/3.19/5.1218/10.72	1.9529	4.0582	0.7765	1.8393	5.3445	0.91067	0.7737	0.2263	0.45259	0.9999	True
G0109_1087	G0109	1.8195/10.788/8.1363/2.1235	1.5082/7.9751/2.0487/0	4.3231	1.1925	-1.2797	22.482	11.831	0.91017	0.085934	0.91407	0.17187	0.9999	False
G0356_3551	G0356	9.0976/8.7655/0.90403/2.1235	6.033/6.3801/4.0974/10.72	3.5732	6.418	0.69784	22.235	9.7788	0.90974	0.79222	0.20778	0.41557	0.9999	True
G0094_931	G0094	14.556/6.0684/9.9444/16.988	18.099/12.76/15.365/18.76	11.061	16.064	0.50061	24.506	30.271	0.90933	0.81429	0.18571	0.37142	0.9999	True
G0134_1340	G0134	4.5488/4.0456/4.5202/2.1235	3.0165/1.595/1.0244/0	3.6511	0.77788	-1.3874	1.3501	9.992	0.90895	0.065814	0.93419	0.13163	0.9999	False
G0829_8287	G0829	9.0976/13.485/5.4242/4.247	12.066/11.963/7.1705/16.08	7.3012	11.363	0.5746	18.108	19.981	0.90859	0.80841	0.19159	0.38319	0.9999	True
G0905_9047	G0905	3.6391/0.67427/9.9444/4.247	3.0165/0/0/5.3601	3.2531	0.54227	-1.4634	17.52	8.9028	0.90852	0.051035	0.94896	0.10207	0.9999	False
G0345_3442	G0345	6.3684/6.7427/9.9444/2.1235	4.5247/4.7851/8.1948/0	5.5072	1.9806	-1.1264	11.135	15.072	0.90839	0.11261	0.88739	0.22522	0.9999	False
G0148_1473	G0148	4.5488/4.7199/3.6161/2.1235	1.5082/0/1.0244/2.6801	3.5887	0.74203	-1.3973	1.4497	9.8214	0.90835	0.063813	0.93619	0.12763	0.9999	False
G0630_6293	G0630	0/5.3942/1.8081/0	1.5082/6.3801/6.1461/0	0.46902	1.4973	0.76552	8.8301	1.2836	0.90761	0.72441	0.27559	0.55118	0.9999	True
G0382_3812	G0382	4.5488/7.417/7.2323/4.247	3.0165/7.1776/10.244/0	5.677	2.1008	-1.1066	2.9214	15.536	0.90729	0.11591	0.88409	0.23182	0.9999	False
G0983_9824	G0983	10.917/5.3942/16.273/2.1235	13.574/7.1776/16.39/8.0402	6.7514	10.651	0.58787	43.755	18.477	0.90711	0.80658	0.19342	0.38684	0.9999	True
G0416_4160	G0416	0/3.3714/2.7121/8.494	7.5412/2.3925/3.0731/2.6801	1.6019	3.5003	0.79045	18.144	4.3839	0.90667	0.76566	0.23434	0.46868	0.9999	True
G0462_4613	G0462	6.3684/6.7427/9.9444/16.988	3.0165/3.19/6.1461/8.0402	9.236	4.6783	-0.8501	25.012	25.276	0.90652	0.15434	0.84566	0.30868	0.9999	False
G0014_137	G0014	4.5488/3.3714/5.4242/4.247	9.0494/10.368/6.1461/5.3601	4.3369	7.4599	0.66465	0.7225	11.869	0.9065	0.79649	0.20351	0.40702	0.9999	True
G0405_4045	G0405	5.4586/2.6971/5.4242/10.617	6.033/6.3801/4.0974/0	5.4082	1.921	-1.1335	11.497	14.801	0.90644	0.11135	0.88865	0.2227	0.9999	False
G0171_1706	G0171	1.8195/7.417/9.9444/6.3705	3.0165/8.7726/6.1461/0	5.4338	1.9386	-1.1305	12.739	14.871	0.90637	0.11185	0.88815	0.22369	0.9999	False
G0353_3524	G0353	14.556/14.834/14.465/27.605	13.574/12.76/6.1461/13.4	17.139	10.935	-0.6039	42.894	46.905	0.90587	0.17743	0.82257	0.35486	0.9999	False
G0363_3621	G0363	3.6391/1.3485/5.4242/4.247	3.0165/0/6.1461/0	3.2771	0.56423	-1.4512	3.1337	8.9684	0.90586	0.052818	0.94718	0.10564	0.9999	False
G0716_7159	G0716	4.5488/2.0228/6.3282/0	4.5247/1.595/3.0731/5.3601	1.487	3.3138	0.79452	11.77	4.0696	0.90552	0.7627	0.2373	0.47459	0.9999	True
G0028_276	G0028	15.466/14.16/16.273/21.235	18.099/15.95/15.365/2.6801	16.587	10.486	-0.61461	9.617	45.394	0.9055	0.17691	0.82309	0.35383	0.9999	False
G0348_3480	G0348	0/10.114/0.90403/2.1235	3.0165/6.3801/1.0244/2.6801	1.1288	2.7187	0.80473	27.683	3.0893	0.90454	0.75278	0.24722	0.49444	0.9999	True
G0393_3921	G0393	6.3684/2.0228/2.7121/2.1235	4.5247/0/1.0244/0	2.944	0.37753	-1.5176	4.4339	8.0569	0.90417	0.038963	0.96104	0.077925	0.9999	False
G0675_6749	G0675	1.8195/2.6971/2.7121/6.3705	0/7.1776/1.0244/0	3.0439	0.43484	-1.4949	4.2652	8.3303	0.90396	0.043559	0.95644	0.087119	0.9999	False
G0648_6471	G0648	4.5488/5.3942/4.5202/6.3705	10.558/8.7726/7.1705/8.0402	5.1567	8.5492	0.63324	0.76813	14.112	0.90309	0.79975	0.20025	0.40049	0.9999	True
G0996_9956	G0996	2.7293/2.6971/1.8081/4.247	0/0.79751/2.0487/0	2.7464	0.27265	-1.5577	1.045	7.5161	0.90231	0.029957	0.97004	0.059914	0.9999	False
G0582_5817	G0582	1.8195/4.7199/5.4242/6.3705	3.0165/3.19/2.0487/0	4.1644	1.1183	-1.2857	4.0869	11.397	0.9023	0.083882	0.91612	0.16776	0.9999	False
G0407_4062	G0407	14.556/8.0913/17.177/6.3705	6.033/4.7851/14.341/2.6801	10.663	5.7891	-0.78068	27.541	29.182	0.90227	0.16321	0.83679	0.32642	0.9999	False
G0394_3937	G0394	22.744/27.645/20.793/38.223	21.115/23.128/19.463/13.4	26.59	18.894	-0.47186	61.612	72.771	0.90225	0.18272	0.81728	0.36543	0.9999	False
G0314_3138	G0314	3.6391/4.0456/1.8081/4.247	6.033/3.19/0/0	3.2673	0.57022	-1.4424	1.2777	8.9418	0.90195	0.053628	0.94637	0.10726	0.9999	False
G0516_5158	G0516	5.4586/3.3714/2.7121/0	3.0165/3.19/4.0974/2.6801	1.4262	3.2073	0.79418	7.9103	3.9032	0.90151	0.75987	0.24013	0.48027	0.9999	True
G0016_159	G0016	4.5488/4.0456/6.3282/4.247	12.066/7.9751/3.0731/13.4	4.7173	7.9543	0.64725	1.0986	12.91	0.90091	0.79697	0.20303	0.40605	0.9999	True
G0889_8884	G0889	20.015/10.114/2.7121/16.988	9.0494/4.7851/2.0487/8.0402	9.868	5.1877	-0.81261	68.306	27.006	0.90062	0.1597	0.8403	0.31941	0.9999	False
G0730_7296	G0730	3.6391/6.0684/8.1363/0	4.5247/3.19/7.1705/2.6801	1.9877	4.0877	0.76798	20.379	5.4398	0.90039	0.7709	0.2291	0.4582	0.9999	True
G0579_5787	G0579	14.556/7.417/7.2323/6.3705	18.099/8.7726/12.292/13.4	8.4028	12.72	0.54515	14.779	22.996	0.90034	0.80839	0.19161	0.38322	0.9999	True
G0728_7275	G0728	12.737/16.183/6.3282/16.988	6.033/10.368/7.1705/5.3601	12.209	7.0051	-0.72258	24.495	33.414	0.90033	0.16958	0.83042	0.33915	0.9999	False
G0984_9838	G0984	25.473/20.228/15.369/16.988	36.198/7.9751/8.1948/10.72	19.153	12.636	-0.56365	20.037	52.418	0.90025	0.18065	0.81935	0.3613	0.9999	False
G0253_2522	G0253	2.7293/6.7427/3.6161/8.494	0/5.5826/5.1218/2.6801	4.8865	1.5947	-1.1818	7.5756	13.373	0.90015	0.10259	0.89741	0.20519	0.9999	False
G0925_9241	G0925	3.6391/2.0228/8.1363/6.3705	1.5082/5.5826/4.0974/0	4.4351	1.2995	-1.241	7.9658	12.138	0.90002	0.091874	0.90813	0.18375	0.9999	False
G0593_5927	G0593	11.827/11.463/13.56/21.235	9.0494/10.368/5.1218/10.72	14.059	8.4768	-0.66817	21.155	38.476	0.89995	0.17441	0.82559	0.34881	0.9999	False
G0864_8633	G0864	5.4586/13.485/8.1363/12.741	3.0165/1.595/13.317/8.0402	9.3535	4.8009	-0.83576	15.067	25.598	0.89981	0.15692	0.84308	0.31384	0.9999	False
G0340_3394	G0340	2.7293/10.788/6.3282/4.247	4.5247/11.165/7.1705/16.08	5.3166	8.748	0.62594	12.934	14.55	0.89955	0.79944	0.20056	0.40113	0.9999	True
G0774_7734	G0774	10.917/9.4398/9.0403/12.741	24.132/15.95/17.414/8.0402	10.439	15.245	0.50607	2.8275	28.568	0.89923	0.81093	0.18907	0.37814	0.9999	True
G0677_6761	G0677	9.0976/8.0913/9.0403/2.1235	13.574/5.5826/15.365/8.0402	6.1554	9.8451	0.59994	12.328	16.846	0.89897	0.80246	0.19754	0.39508	0.9999	True
G0704_7031	G0704	7.2781/4.0456/2.7121/12.741	1.5082/2.3925/1.0244/5.3601	5.6649	2.1273	-1.0917	21.338	15.503	0.89846	0.11824	0.88176	0.23648	0.9999	False
G0589_5885	G0589	1.8195/0.67427/0.90403/4.247	4.5247/1.595/3.0731/5.3601	1.4959	3.3138	0.78939	2.8995	4.0939	0.89846	0.76047	0.23953	0.47906	0.9999	True
G0755_7549	G0755	0.90976/3.3714/4.5202/6.3705	0/0/4.0974/2.6801	3.0995	0.48447	-1.4655	5.8622	8.4824	0.89787	0.047889	0.95211	0.095778	0.9999	False
G0777_7762	G0777	6.3684/5.3942/5.4242/2.1235	7.5412/4.7851/1.0244/0	4.4709	1.3313	-1.2306	3.624	12.236	0.89755	0.093522	0.90648	0.18704	0.9999	False
G0525_5241	G0525	1.8195/7.417/4.5202/0	1.5082/2.3925/12.292/2.6801	1.5068	3.3281	0.78785	15.459	4.1238	0.89683	0.76016	0.23984	0.47967	0.9999	True
G0732_7318	G0732	8.1879/2.6971/4.5202/4.247	4.5247/3.19/3.0731/0	4.5451	1.3823	-1.2189	5.5915	12.439	0.89678	0.095612	0.90439	0.19122	0.9999	False
G0490_4900	G0490	7.2781/2.6971/9.0403/8.494	9.0494/5.5826/9.2192/0	6.2453	2.5383	-1.034	8.8418	17.092	0.89666	0.12788	0.87212	0.25576	0.9999	False
G0644_6432	G0644	7.2781/4.7199/9.0403/12.741	3.0165/7.9751/3.0731/2.6801	7.9378	3.76	-0.90896	11.692	21.724	0.89636	0.14728	0.85272	0.29455	0.9999	False
G0696_6951	G0696	3.6391/2.6971/4.5202/2.1235	3.0165/0/4.0974/0	3.1195	0.5014	-1.4562	1.1341	8.5373	0.89604	0.049319	0.95068	0.098639	0.9999	False
G0875_8741	G0875	4.5488/5.3942/7.2323/10.617	1.5082/2.3925/6.1461/2.6801	6.5934	2.7884	-1.0031	7.4066	18.044	0.89573	0.1329	0.8671	0.26581	0.9999	False
G0037_364	G0037	7.2781/18.88/12.656/16.988	16.591/16.748/17.414/24.121	13.118	18.484	0.46478	27.497	35.9	0.89564	0.81209	0.18791	0.37582	0.9999	True
G0287_2862	G0287	5.4586/3.3714/5.4242/4.247	6.033/2.3925/3.0731/0	4.5396	1.384	-1.2164	1.0258	12.424	0.89526	0.095924	0.90408	0.19185	0.9999	False
G0484_4837	G0484	6.3684/8.0913/2.7121/6.3705	10.558/8.7726/5.1218/13.4	5.4722	8.9358	0.61838	5.3625	14.976	0.89502	0.79878	0.20122	0.40244	0.9999	True
G0827_8270	G0827	18.195/14.16/18.081/12.741	19.607/10.368/16.39/2.6801	15.61	9.7613	-0.62616	7.7077	42.719	0.89478	0.1785	0.8215	0.357	0.9999	False
G0169_1683	G0169	9.0976/2.6971/10.848/8.494	7.5412/11.963/11.268/13.4	6.9143	10.806	0.57697	13.508	18.922	0.8946	0.8035	0.1965	0.393	0.9999	True
G0522_5211	G0522	14.556/13.485/7.2323/2.1235	13.574/10.368/9.2192/13.4	7.4482	11.484	0.5634	38.457	20.384	0.89396	0.80466	0.19534	0.39068	0.9999	True
G0196_1954	G0196	0.90976/1.3485/8.1363/2.1235	4.5247/3.19/9.2192/2.6801	2.175	4.3558	0.75436	12.608	5.9524	0.89388	0.77178	0.22822	0.45643	0.9999	True
G0036_353	G0036	3.6391/0.67427/5.4242/2.1235	4.5247/3.9875/9.2192/2.6801	2.342	4.6043	0.74584	4.6705	6.4093	0.89361	0.77416	0.22584	0.45169	0.9999	True
