id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
G0974	10	0.69045	0.68984	0.998595	672	0	0.055062	0.53166	0.53173	0.994234	512	0	0.055062
G0375	10	0.6915	0.69082	0.998595	673	0	0.010957	0.55776	0.55819	0.994234	544	0	0.010957
G0389	10	0.69219	0.69153	0.998595	674	0	0.014515	0.95275	0.95297	0.994234	958	0	0.014515
G0772	10	0.69288	0.69232	0.998595	675	0	-0.023466	0.83415	0.83315	0.994234	825	0	-0.023466
G0667	10	0.69323	0.69285	0.998595	676	0	0.064027	0.18833	0.22216	0.994234	204	1	0.064027
G0071	10	0.69357	0.69316	0.998595	677	0	0.0013962	0.81907	0.81869	0.994234	811	0	0.0013962
G0441	10	0.69392	0.69345	0.998595	678	0	0.079133	0.29279	0.30639	0.994234	291	1	0.079133
G0537	10	0.697	0.69656	0.998595	679	0	-0.00049247	0.28322	0.29828	0.994234	283	1	-0.00049247
G0431	10	0.69938	0.69901	0.998595	680	0	0.0075819	0.83434	0.83337	0.994234	826	0	0.0075819
G0916	10	0.70175	0.70116	0.998595	681	0	0.038309	0.39334	0.39668	0.994234	373	1	0.038309
G0163	10	0.70543	0.70451	0.998595	682	0	-0.0060983	0.81495	0.81457	0.994234	806	0	-0.0060983
G0790	10	0.70676	0.70592	0.998595	683	0	0.057814	0.50577	0.50599	0.994234	482	0	0.057814
G0993	10	0.70742	0.70653	0.998595	684	0	0.010338	0.75456	0.75402	0.994234	746	0	0.010338
G0424	10	0.70907	0.70812	0.998595	685	0	-0.039912	0.1716	0.20972	0.994234	191	1	-0.039912
G0753	10	0.70973	0.70877	0.998595	686	0	0.0067214	0.38241	0.38594	0.994234	364	1	0.0067214
G0805	10	0.71039	0.70933	0.998595	687	0	0.030481	0.40909	0.41213	0.994234	390	1	0.030481
G0217	10	0.71071	0.70969	0.998595	688	0	-0.024473	0.87283	0.87293	0.994234	872	0	-0.024473
G0625	10	0.71104	0.71	0.998595	689	0	0.053948	0.76345	0.76321	0.994234	753	0	0.053948
G0149	10	0.71365	0.71268	0.998595	690	0	-0.022114	0.40221	0.40582	0.994234	383	1	-0.022114
G0164	10	0.7143	0.71333	0.998595	691	0	0.047972	0.036758	0.068619	0.994234	41	2	0.047972
G0046	10	0.71527	0.71445	0.998595	692	0	0.056198	0.70006	0.69965	0.994234	681	0	0.056198
G0865	10	0.71655	0.71569	0.998595	693	0	0.0055912	0.31017	0.32128	0.994234	305	1	0.0055912
G0044	10	0.71784	0.71684	0.998595	694	0	0.019248	0.6484	0.64872	0.994234	627	0	0.019248
