sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
G0952_9518	G0952	83.599/79.358/48.945/43.863	71.232/63.84/65.191/38.975	61.437	58.305	-0.074241	425.73	302.79	0.17997	0.42847	0.57153	0.85694	0.99996	False
G0908_9071	G0908	61.376/38.756/40.433/55.084	58.189/28.051/68.295/59.391	47.978	50.732	0.078923	123.99	234.21	0.17995	0.57104	0.42896	0.85793	0.99996	True
G0333_3323	G0333	235.98/140.26/185.14/166.27	198.65/130.58/247.31/179.1	178.66	184.11	0.043092	1651.9	917.78	0.17981	0.57135	0.42865	0.8573	0.99996	True
G0375_3746	G0375	99.472/95.967/152.16/115.27	110.36/74.48/146.94/118.78	113.75	109.44	-0.055206	665.78	574.16	0.17979	0.42866	0.57134	0.85731	0.99996	False
G0352_3520	G0352	135.45/95.967/141.52/168.31	145.47/85.12/156.25/183.74	132.65	137.32	0.049496	901.26	673.56	0.17974	0.57132	0.42868	0.85736	0.99996	True
G0632_6315	G0632	73.017/70.13/93.634/31.622	80.261/54.167/84.851/33.407	62.41	59.257	-0.073583	698.32	307.77	0.17973	0.42858	0.57142	0.85715	0.99996	False
G0389_3889	G0389	50.794/83.049/118.11/90.786	47.153/86.087/82.782/112.29	82.014	78.38	-0.064572	785.14	408.74	0.17973	0.42867	0.57133	0.85734	0.99996	False
G0339_3385	G0339	23.281/85.817/52.137/81.606	25.082/72.545/42.426/88.158	54.012	51.089	-0.078774	906.97	264.88	0.17962	0.42847	0.57153	0.85694	0.99996	False
G0345_3446	G0345	225.4/188.24/124.49/184.63	232.76/168.3/155.22/180.96	176.72	182.13	0.043253	1764.3	907.41	0.17956	0.57125	0.42875	0.8575	0.99996	True
G0641_6407	G0641	154.5/148.57/184.08/109.15	154.5/147.02/186.26/124.35	146.54	151.45	0.047203	958.18	747	0.17955	0.57125	0.42875	0.85751	0.99996	True
G0315_3143	G0315	17.99/38.756/43.625/55.084	23.075/57.069/31.043/52.895	35.988	38.354	0.089476	251.53	173.75	0.17954	0.56988	0.43012	0.86023	0.99996	True
G0773_7724	G0773	133.33/115.35/73.418/121.39	114.37/94.792/79.677/135.49	108.2	104.01	-0.056454	688.82	545.09	0.17949	0.42877	0.57123	0.85755	0.99996	False
G0699_6986	G0699	161.91/178.09/179.82/144.85	137.45/152.83/190.4/165.18	165.55	160.32	-0.045982	267.59	847.87	0.17942	0.4288	0.5712	0.8576	0.99996	False
G0724_7236	G0724	61.376/59.057/45.753/44.883	51.166/47.396/51.739/47.327	52.234	49.364	-0.079943	75.39	255.83	0.17941	0.4285	0.5715	0.85699	0.99996	False
G0935_9349	G0935	93.123/73.821/40.433/42.843	88.287/57.069/40.356/47.327	58.75	55.701	-0.075578	665.72	289.05	0.17937	0.42867	0.57133	0.85733	0.99996	False
G0214_2133	G0214	53.969/107.96/56.393/54.064	47.153/85.12/73.469/49.183	64.925	61.715	-0.072036	721.03	320.67	0.17931	0.42876	0.57124	0.85753	0.99996	False
G0853_8523	G0853	75.133/95.045/84.058/70.385	95.31/81.251/78.643/82.59	80.623	84.215	0.062133	118.25	401.54	0.17926	0.57112	0.42888	0.85776	0.99996	True
G0115_1141	G0115	52.911/90.431/55.329/54.064	54.176/103.5/55.878/55.679	61.51	64.631	0.070282	334.67	303.16	0.17923	0.57103	0.42897	0.85794	0.99996	True
G0875_8749	G0875	134.39/122.73/121.3/151.99	159.52/106.4/101.41/153.12	132.05	127.41	-0.0512	201.87	670.41	0.17917	0.4289	0.5711	0.8578	0.99996	False
