"","sgRNA","logFC","logCPM","PValue"
"54","G0006_54",-0.256131513425966,6.66122048312345,0.757253611207566
"55","G0006_55",2.79009956970685,4.80293761657038,0.286395425980875
"56","G0006_56",-0.642215097028226,6.45955084781144,0.281276364051439
"57","G0006_57",-0.431226280385597,7.02657107692793,0.330081624762442
"58","G0006_58",0.411495204763302,6.4580067774529,0.477216959789349
"59","G0006_59",-0.00496434036013145,5.3986569238744,1
"60","G0006_60",-0.0442196698810608,7.55157866246479,0.937401998031313
"61","G0007_61",0.295193193964182,5.9863693168173,0.855441517922594
"62","G0007_62",-0.546549020038323,7.04614139755952,0.189322495511772
"63","G0007_63",-0.430496119539125,5.94248285752497,0.678000182690199
"64","G0007_64",1.53505015311672,5.51346844502527,0.132151960530371
"65","G0007_65",0.262152608000644,5.40195061762498,1
"66","G0007_66",0.0162879465299518,6.51229733537755,1
"67","G0007_67",-0.773424777191906,6.57422767437739,0.12439935387504
"68","G0007_68",0.152919222927305,6.97885136480783,0.726221426919795
"69","G0007_69",-0.915322217727631,5.92288015856816,0.118336247349836
"70","G0007_70",-0.265507959189082,6.15629587425887,0.890029624905321
"71","G0008_71",-0.0724873075419499,7.92620910401156,0.950076264483648
"72","G0008_72",-0.442314152497952,6.30785258100806,0.472918998401003
"73","G0008_73",0.255298282189317,6.83862259803793,0.607266023551515
"74","G0008_74",-0.404887915705539,6.67025337273707,0.650667073806179
"75","G0008_75",-0.872527989028319,7.01151633498198,0.0242918499213576
"76","G0008_76",-0.495526559626718,6.54736165622203,0.255479557376575
"77","G0008_77",0.306352691124496,7.05607591358279,0.588020294094202
"78","G0008_78",-0.00957141099604051,5.67265357463135,0.844315254663894
"79","G0008_79",-0.215856857462475,7.3328329989308,0.552440330056389
"80","G0008_80",-0.104694374859365,7.01389500677814,1
"81","G0009_81",-0.318008703273531,5.65282209265854,0.682824077861197
"82","G0009_82",-1.79143112600813,5.42007828369742,0.116122553608637
"83","G0009_83",0.0260930897030007,6.8572016029913,1
"84","G0009_84",-0.399503023154024,7.81255651076491,0.20448302655536
"85","G0009_85",-0.485276782373162,6.05323144773961,0.50183628730422
"86","G0009_86",-0.714999667755181,5.90856963058997,0.581376140381375
"87","G0009_87",-0.420876910882743,7.02928699221494,0.429601031867222
"88","G0009_88",-0.379796228170777,6.69726216114372,0.353503561487784
"89","G0009_89",-0.622503348486137,7.22502214426945,0.143971946530193
"90","G0009_90",-0.43014124847763,5.38484840238691,0.999999999999996
"91","G0010_91",-0.00231892689793797,6.67080986545026,1
"92","G0010_92",-0.226464722689156,7.25160677626092,0.598838851680722
"93","G0010_93",-0.947917814185331,6.40189339039105,0.0447840592204204
"94","G0010_94",-0.373346170921898,7.55689010789172,0.280279323046486
"95","G0010_95",-0.0108157448084821,7.62427052061635,1
"96","G0010_96",-0.221330457656504,7.69691621403106,0.628143321875996
"97","G0010_97",-0.499648498038633,6.7541076575349,0.215618094796198
"98","G0010_98",-0.0599573064567328,6.29771459148816,1
"99","G0010_99",-0.0701126363809447,5.63397684121973,0.824818522616119
"100","G0010_100",-0.205210006899861,7.16683928387444,0.686837503355601
"101","G0011_101",0.394591483150693,5.59053503386484,0.836135519800006
"102","G0011_102",-0.909821152366774,5.78143159991044,0.41766332358946
"103","G0011_103",-0.800419460345343,7.54760257661403,0.0272188725522687
"104","G0011_104",0.435916821617143,6.48202050206508,0.455425384754166
"105","G0011_105",-0.329729487783461,7.34572123658843,0.462290181955981
"106","G0011_106",-0.700874481753167,6.1543937546687,0.308050415854531
"107","G0011_107",-1.2987241713212,5.09740289967024,0.373139141429589
"108","G0011_108",-0.547337885603306,6.95842935321972,0.177579090785762
"109","G0011_109",-0.343622870341698,6.34270772043569,0.56350113854509
"110","G0011_110",-0.95631022548375,6.028468294927,0.342377241715287
"111","G0012_111",-0.657763601685838,6.56447761527946,0.155361730070952
"112","G0012_112",-0.686077855483637,6.04964863980716,0.24844105029396
"113","G0012_113",-0.746920238097801,5.95308021941815,0.522435397678635
"114","G0012_114",-0.373900201553885,6.36894663525328,0.57503131199522
"115","G0012_115",-0.0648329792133651,6.34176133001227,1
"116","G0012_116",-1.24653230938357,6.47496266973309,0.05193379637274
"117","G0012_117",-0.308204381209342,7.74262134567731,0.266123091833769
"118","G0012_118",-1.18053444532967,5.97095898488914,0.135304395469422
"119","G0012_119",-0.423818223452153,8.17754890296177,0.140920204715487
"120","G0012_120",-0.671130045796618,6.69557119258565,0.28306720626054
"121","G0013_121",-0.836881192113408,6.2774336254589,0.200225539271687
"122","G0013_122",0.444307307903166,5.26130075600487,1
"123","G0013_123",-0.445649468994281,8.31042020253719,0.124228848876845
"124","G0013_124",-0.0135804328874284,6.12317897695279,1
"125","G0013_125",0.592932793253988,6.33861398468392,0.477491779785113
"126","G0013_126",0.00801883083575741,7.27212284936108,0.917244009627546
"127","G0013_127",-1.85536577633216,5.55405539706577,0.098589688120774
"128","G0013_128",-1.66402036635952,5.6599354484581,0.160838971078122
"129","G0013_129",0.122194065220572,6.51195032568305,0.885719265530824
"130","G0013_130",-1.2956285132916,5.64764297556222,0.0770504333226929
"131","G0014_131",0.0238960420544038,6.10285681937789,0.887593376451156
"132","G0014_132",-0.964794348768883,6.92905038298389,0.044237591552726
"133","G0014_133",0.100270418081084,7.59578854643919,0.794959519214217
"134","G0014_134",-0.990166070858223,5.76914537717905,0.214309332446631
"135","G0014_135",-0.809663945971711,6.2170228510542,0.176681947099293
