"","Gene","pos.pvalue","pos.fdr","neg.pvalue","neg.fdr","p.value.twosides"
"621","G0621",0.550932435068319,0.956482474724629,0.757830829083482,0.996407952286726,1
"622","G0622",0.892160844229402,0.985537721009132,0.312230611859449,0.996407952286726,0.624461223718898
"623","G0623",0.986243565784647,1,0.0214930769363765,0.963038265542577,0.042986153872753
"624","G0624",0.347802570534157,0.945167720913825,0.588651346984853,0.996407952286726,0.695605141068314
"625","G0625",0.0991473158011504,0.945167720913825,0.903540307347727,0.996407952286726,0.198294631602301
"626","G0626",0.021440885094524,0.945167720913825,0.874748492943211,0.996407952286726,0.042881770189048
"627","G0627",0.747761470261937,0.985537721009132,0.256418230757699,0.996407952286726,0.512836461515399
"628","G0628",0.358329840287528,0.945167720913825,0.683384604205342,0.996407952286726,0.716659680575055
"629","G0629",0.606069270828342,0.968582725317211,0.640779261535069,0.996407952286726,1
"630","G0630",0.082556574152563,0.945167720913825,0.597256937391232,0.996407952286726,0.165113148305126
"631","G0631",0.128131631357651,0.945167720913825,0.360675053728385,0.996407952286726,0.256263262715303
"632","G0632",0.215124965255973,0.945167720913825,0.678418378326597,0.996407952286726,0.430249930511947
"633","G0633",0.548206557519084,0.956482474724629,0.579665213563823,0.996407952286726,1
"634","G0634",0.876757660295448,0.985537721009132,0.278955198486368,0.996407952286726,0.557910396972736
"635","G0635",0.773373882574452,0.985537721009132,0.147576981304315,0.996407952286726,0.295153962608629
"636","G0636",0.0516805752007532,0.945167720913825,0.980271874828051,0.997035038492919,0.103361150401506
"637","G0637",0.996771282885305,1,0.00856984613124157,0.77907692102196,0.0171396922624831
"638","G0638",0.293187337204712,0.945167720913825,0.595115904155731,0.996407952286726,0.586374674409424
"639","G0639",0.427548891249951,0.945167720913825,0.595548184601844,0.996407952286726,0.855097782499902
"640","G0640",0.14470720278327,0.945167720913825,0.945631481997678,0.996407952286726,0.28941440556654
"641","G0641",0.337950887340687,0.945167720913825,0.768592185864452,0.996407952286726,0.675901774681374
"642","G0642",0.994971261053708,1,0.0523554059725678,0.996407952286726,0.104710811945136
"643","G0643",0.614646807121459,0.968582725317211,0.702959951199005,0.996407952286726,1
"644","G0644",0.0168474659702185,0.945167720913825,0.922564804962221,0.996407952286726,0.0336949319404369
"645","G0645",0.0103820098840587,0.777296731879722,0.72043716978593,0.996407952286726,0.0207640197681174
"646","G0646",0.468778321299404,0.945167720913825,0.251326665197768,0.996407952286726,0.502653330395537
"647","G0647",0.970921688493646,1,0.0725826446435418,0.996407952286726,0.145165289287084
"648","G0648",0.808826728892626,0.985537721009132,0.457313102272985,0.996407952286726,0.91462620454597
"649","G0649",0.652108626048286,0.968582725317211,0.716602953690996,0.996407952286726,1
"650","G0650",0.119186400963667,0.945167720913825,0.773753342894433,0.996407952286726,0.238372801927334
"651","G0651",0.526841131293247,0.947984927013935,0.782229377054558,0.996407952286726,1
"652","G0652",0.467319940337944,0.945167720913825,0.757790103387068,0.996407952286726,0.934639880675888
"653","G0653",0.313057174418617,0.945167720913825,0.772079570494651,0.996407952286726,0.626114348837234
"654","G0654",0.488726836930803,0.945167720913825,0.480440293323157,0.996407952286726,0.960880586646314
"655","G0655",0.813430058489534,0.985537721009132,0.0238803133574441,0.963038265542577,0.0477606267148882
"656","G0656",0.206363600508553,0.945167720913825,0.867731583986192,0.996407952286726,0.412727201017105
"657","G0657",0.339958930018567,0.945167720913825,0.910876646722836,0.996407952286726,0.679917860037134
"658","G0658",0.452016710004105,0.945167720913825,0.76460446251957,0.996407952286726,0.904033420008211
"659","G0659",0.0947375288616765,0.945167720913825,0.702610083855934,0.996407952286726,0.189475057723353
"660","G0660",0.847984000413996,0.985537721009132,0.113575798540874,0.996407952286726,0.227151597081747
