"","Gene","pos.pvalue","pos.fdr","neg.pvalue","neg.fdr","p.value.twosides"
"257","G0257",0.832196257181334,0.99999999999984,0.124879131249871,0.760349512251139,0.249758262499741
"258","G0258",0.511404688073191,0.99999999999984,0.446047586331307,0.867964637174077,0.892095172662615
"259","G0259",0.977501253140604,0.99999999999984,0.0175611820579789,0.331343057697714,0.0351223641159577
"260","G0260",0.272039345485293,0.99999999999984,0.759243182936139,0.961138922478876,0.544078690970585
"261","G0261",0.194221106236561,0.99999999999984,0.489822088875446,0.883544780400779,0.388442212473122
"262","G0262",0.76711765441662,0.99999999999984,0.244971176855833,0.827522366547025,0.489942353711667
"263","G0263",0.916411686595298,0.99999999999984,0.292362918917278,0.827522366547025,0.584725837834555
"264","G0264",0.995080276349336,0.99999999999984,0.0313243228083238,0.447490325833197,0.0626486456166475
"265","G0265",0.298371252074322,0.99999999999984,0.365378001881674,0.839949429613044,0.596742504148644
"266","G0266",0.485847640584228,0.99999999999984,0.299104672369415,0.827522366547025,0.59820934473883
"267","G0267",0.609385963493239,0.99999999999984,0.753127244935965,0.961138922478876,1
"268","G0268",0.741100634617404,0.99999999999984,0.406297205243566,0.865106959377495,0.812594410487133
"269","G0269",0.330308863431163,0.99999999999984,0.571892894071598,0.921588294121922,0.660617726862327
"270","G0270",0.00578685401333623,0.110018729874515,0.995410797431911,1,0.0115737080266725
"271","G0271",0.00100053031629088,0.0217506590498018,0.910216098058241,1,0.00200106063258176
"272","G0272",0.312827237635836,0.99999999999984,0.799801477542298,0.969392519664007,0.625654475271673
"273","G0273",0,0,0.999999999999789,1,0
"274","G0274",0.644340519231371,0.99999999999984,0.205891795952786,0.79882051058624,0.411783591905573
"275","G0275",0.942357884157221,0.99999999999984,0.0650044706494234,0.640822892223796,0.130008941298847
"276","G0276",0.856736999502954,0.99999999999984,0.121170681716365,0.760349512251139,0.24234136343273
"277","G0277",0.322485565464979,0.99999999999984,0.588189658682116,0.921588294121922,0.644971130929958
"278","G0278",0.609752497909706,0.99999999999984,0.328129622867598,0.827522366547025,0.656259245735197
"279","G0279",0.204767566968971,0.99999999999984,0.669863221689716,0.942510699736762,0.409535133937942
"280","G0280",0,0,1,1,0
"281","G0281",0.66694452414287,0.99999999999984,0.680549804630324,0.942510699736762,1
"282","G0282",0.994392468695199,0.99999999999984,0.0400909702324905,0.50748063585431,0.0801819404649811
"283","G0283",0.676804779337124,0.99999999999984,0.277418936616344,0.827522366547025,0.554837873232687
"284","G0284",0.354559622041931,0.99999999999984,0.576244017220584,0.921588294121922,0.709119244083862
"285","G0285",0.971623012123461,0.99999999999984,0.157493258388898,0.788552829124754,0.314986516777796
"286","G0286",0.93560238411146,0.99999999999984,0.0803654473814219,0.673726653712543,0.160730894762844
"287","G0287",0.260228854294469,0.99999999999984,0.456292756041363,0.867964637174077,0.520457708588938
"288","G0288",0.70959216841922,0.99999999999984,0.59589926419056,0.927127796969277,1
"289","G0289",0.044986280063672,0.651859328477825,0.990765724557858,1,0.089972560127344
"290","G0290",0.262208336613782,0.99999999999984,0.344597016286474,0.829038352371444,0.524416673227565
"291","G0291",0.0577493764518894,0.813371499322386,0.810431897670154,0.972907440180257,0.115498752903779
"292","G0292",0.997422736383682,0.99999999999984,0.0150491192779661,0.295080770156199,0.0300982385559323
"293","G0293",0.385626237220087,0.99999999999984,0.412965342949333,0.865106959377495,0.771252474440174
"294","G0294",0.389003063308588,0.99999999999984,0.630648902903435,0.939673251037982,0.778006126617175
"295","G0295",0.561345511462347,0.99999999999984,1.43053187184883e-07,7.15265935924414e-06,2.86106374369766e-07
"296","G0296",0.698734159520391,0.99999999999984,0.195066414109688,0.795051876188197,0.390132828219375
"297","G0297",0.508736596823956,0.99999999999984,0.433990669126812,0.86624884057248,0.867981338253625
"298","G0298",0.306379054799606,0.99999999999984,0.636284770273503,0.942510699736762,0.612758109599213
"299","G0299",0.989052060687085,0.99999999999984,0.0102369043671828,0.216439557735826,0.0204738087343657
"300","G0300",0.855993331519412,0.99999999999984,0.173959662301841,0.795051876188197,0.347919324603682
"301","G0301",0.860867123378166,0.99999999999984,0.0879647346918797,0.69024220623364,0.175929469383759
"302","G0302",0.31519671499169,0.99999999999984,0.645526696172766,0.942510699736762,0.63039342998338
"303","G0303",0.525877285148757,0.99999999999984,0.354416062225745,0.835077952624981,0.70883212445149
"304","G0304",0.605089722113699,0.99999999999984,0.252763471484864,0.827522366547025,0.505526942969728
"305","G0305",0.965858765521237,0.99999999999984,0.134482057683473,0.764102600474276,0.268964115366945
"306","G0306",0.845172741635319,0.99999999999984,0.393041977333807,0.865106959377495,0.786083954667613
"307","G0307",0.253444816830507,0.99999999999984,0.347406335878809,0.830752190593453,0.506889633661015
"308","G0308",0.837066392095218,0.99999999999984,0,0,0
"309","G0309",0.588684633208061,0.99999999999984,0.444142911143329,0.867964637174077,0.888285822286658
"310","G0310",0.597579875222628,0.99999999999984,0.543472963581066,0.910532864091183,1
"311","G0311",0.111587681757488,0.99999999999984,0.848380542061166,0.974566535541428,0.223175363514976
"312","G0312",0.177690162675771,0.99999999999984,0.550372030549122,0.911677238602534,0.355380325351542
"313","G0313",0.85943017664948,0.99999999999984,0.256455859543638,0.827522366547025,0.512911719087276
"314","G0314",0.680632848667275,0.99999999999984,0.211997748874223,0.806075090776512,0.423995497748445
"315","G0315",0.0239612380267412,0.399353967112354,0.544363539478887,0.910532864091183,0.0479224760534824
"316","G0316",0.376482051309,0.99999999999984,0.889885355499274,0.993751737879663,0.752964102617999
"317","G0317",0.907388910604232,0.99999999999984,0.282020300983592,0.827522366547025,0.564040601967184
"318","G0318",0.174491042210096,0.99999999999984,0.738313585073742,0.95884881178408,0.348982084420191
"319","G0319",0.556593038707166,0.99999999999984,0.447870709938683,0.867964637174077,0.895741419877366
"320","G0320",0.397747411544985,0.99999999999984,0.757910485986654,0.961138922478876,0.795494823089969
"321","G0321",0.11065010050185,0.99999999999984,0.955882645902101,1,0.2213002010037
"322","G0322",0.587902451853531,0.99999999999984,0.00773071639851808,0.179784102291118,0.0154614327970362
"323","G0323",0.914709337663826,0.99999999999984,0.0659133944973859,0.640822892223796,0.131826788994772
"324","G0324",0.527525826168491,0.99999999999984,0.37628244811926,0.854380177153963,0.75256489623852
"325","G0325",0.885210471421357,0.99999999999984,0.364684350854039,0.839949429613044,0.729368701708078
"326","G0326",0.0697537222797342,0.871921528496677,0.890401557140178,0.993751737879663,0.139507444559468
"327","G0327",0.396065250601084,0.99999999999984,0.696712597241918,0.942510699736762,0.792130501202168
"328","G0328",0.985478712152285,0.99999999999984,0.00361812293909913,0.0904530734774783,0.00723624587819827
"329","G0329",0.187622312664196,0.99999999999984,0.796703580611186,0.969225767166893,0.375244625328392
"330","G0330",0.233484188012205,0.99999999999984,0.571692585640485,0.921588294121922,0.46696837602441
"331","G0331",0.705155833665794,0.99999999999984,0.348208196494464,0.830752190593453,0.696416392988927
"332","G0332",0.485094247303533,0.99999999999984,0.677741349538707,0.942510699736762,0.970188494607067
"333","G0333",0.980274878066226,0.99999999999984,0.0606237265874452,0.640822892223796,0.12124745317489
"334","G0334",0.566534362841773,0.99999999999984,0.241598320560483,0.827522366547025,0.483196641120967
"335","G0335",0.630190513777333,0.99999999999984,0.555086298212807,0.915983990450177,1
"336","G0336",0.61665071461004,0.99999999999984,0.284453973736299,0.827522366547025,0.568907947472598
