"","sgRNA","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3185","G0319_3185",47.8088389909484,0.324868456778292,0.430182545769918,0.755187443035047,0.450136521908801,0.999975938893155
"3186","G0319_3186",56.1008393969984,0.0200333381292904,0.327971662935264,0.061082527526912,0.951293484178356,0.999975938893155
"3187","G0319_3187",81.6577335718797,0.0234059695716118,0.244277893556823,0.0958169780769262,0.923665932846647,0.999975938893155
"3188","G0319_3188",292.550961151682,-0.00561394653294634,0.149902271655729,-0.0374507101923014,0.970125640118569,0.999975938893155
"3189","G0319_3189",54.0366447725491,-0.0519581488174968,0.33282784920919,-0.156111181624227,0.875945384763904,0.999975938893155
"3190","G0319_3190",86.2320964006667,-0.176657467809389,0.302498255847979,-0.58399499631551,0.559223678481531,0.999975938893155
"3191","G0320_3191",89.1951741524937,0.0766610832109742,0.294626953449511,0.260197114735843,0.794711729742733,0.999975938893155
"3192","G0320_3192",78.6113109671604,0.2136903428643,0.321173176749002,0.665343055815957,0.505831097752925,0.999975938893155
"3193","G0320_3193",44.2419741510079,0.141819173220922,0.400040037144028,0.354512448887366,0.722954876199699,0.999975938893155
"3194","G0320_3194",123.462390175518,-0.0730659913955794,0.220815804460442,-0.330891131520746,0.740726721020975,0.999975938893155
"3195","G0320_3195",152.363746741325,-0.0950197937886402,0.209728877469199,-0.453060136187468,0.650505439369025,0.999975938893155
"3196","G0320_3196",43.8956202011264,0.141535879537433,0.552544928663918,0.256152707581035,0.797832924445734,0.999975938893155
"3197","G0320_3197",495.352910052175,-0.0186375329429233,0.122350408199228,-0.152329143950015,0.878927339591508,0.999975938893155
"3198","G0320_3198",45.8085302417734,-0.195148449389981,0.439933804482365,-0.443585938160848,0.65734197415226,0.999975938893155
"3199","G0320_3199",114.500638828035,0.0235370482130405,0.236474821155542,0.0995329993190224,0.920715088309699,0.999975938893155
"3200","G0320_3200",47.7046486279791,-0.330292898176686,0.317418229048493,-1.04056058521524,0.298079532048742,0.999975938893155
"3201","G0321_3201",149.53201024218,-0.133722481335469,0.263995546267699,-0.506533095826816,0.612482462197011,0.999975938893155
"3202","G0321_3202",246.269658668239,-0.0745696888981731,0.148831510744451,-0.50103428047715,0.616346997269498,0.999975938893155
"3203","G0321_3203",177.61868084604,0.107573646034447,0.170791762963871,0.629852658978658,0.528790988919208,0.999975938893155
"3204","G0321_3204",275.737433393974,-0.00671882782975415,0.131362630034583,-0.0511471780671971,0.959208242502699,0.999975938893155
"3205","G0321_3205",291.424302850608,0.0909690447500732,0.196383599821942,0.463221189715197,0.643205829199635,0.999975938893155
"3206","G0321_3206",39.6180874535805,-0.16899515059754,0.418063265864142,-0.404233436411172,0.68604106820207,0.999975938893155
"3207","G0321_3207",19.3665851749948,0.0716444498037969,0.457554020925397,0.156581401380534,0.875574761268927,0.999975938893155
"3208","G0321_3208",82.9787655954255,0.0585548372187257,0.227323236973791,0.257584037594347,0.796727950254373,0.999975938893155
"3209","G0321_3209",61.0046250035114,0.141264426451726,0.433734738685127,0.325693134195271,0.744656539366624,0.999975938893155
"3210","G0321_3210",113.150494981597,0.0069830040004358,0.296008976383715,0.0235905143342132,0.981179238511941,0.999975938893155
"3211","G0322_3211",50.0510962666017,0.582525629753983,0.35459373720039,1.64279728782909,0.100424881554947,0.999975938893155
"3212","G0322_3212",39.3840193815568,-0.231180638552933,0.570517760625199,-0.405211992523414,0.685321690520906,0.999975938893155
"3213","G0322_3213",141.480393024032,0.080633870429682,0.200943461924902,0.401276407091149,0.688216631753113,0.999975938893155
"3214","G0322_3214",106.722140162194,0.00638021618015342,0.241626748910048,0.0264052560775406,0.978934101869321,0.999975938893155
"3215","G0322_3215",34.5326769715119,0.104267858432223,0.439972557134739,0.23698718645375,0.812666730869492,0.999975938893155
"3216","G0322_3216",54.6946278439969,0.188716921173472,0.438214767281292,0.430649387614849,0.66672332495632,0.999975938893155
"3217","G0322_3217",95.5593707505054,-0.0411565981092589,0.247196429720552,-0.16649349732027,0.867768600140885,0.999975938893155
"3218","G0322_3218",186.366773068409,0.0342621283879808,0.218831331920584,0.156568659923045,0.875584803625684,0.999975938893155
"3219","G0322_3219",77.6885255415352,0.0175181082520852,0.274763602757099,0.0637570190385509,0.949163702428528,0.999975938893155
"3220","G0322_3220",52.4048084149105,-0.0862014478086581,0.43711153635017,-0.197206984122245,0.843665565400438,0.999975938893155
"3221","G0323_3221",33.4496833998559,0.0210601826327321,0.366195310963637,0.0575107927442124,0.954138308972817,0.999975938893155
"3222","G0323_3222",40.3621958977205,-0.255777804358047,0.36238496696233,-0.705817922034926,0.480301375235557,0.999975938893155
"3223","G0323_3223",163.702629819014,0.0936666627327198,0.172806618290029,0.54203168639939,0.587796677620022,0.999975938893155
"3224","G0323_3224",95.6371558664471,0.248599853639939,0.288731494135825,0.861007055652174,0.389234157089047,0.999975938893155
"3225","G0323_3225",147.143966189827,0.0336067552295123,0.20680794915436,0.162502241170761,0.870910363535288,0.999975938893155
"3226","G0323_3226",37.7725775729283,-0.171463717486756,0.571978743839888,-0.299772883753795,0.764350400260531,0.999975938893155
"3227","G0323_3227",198.189246276956,-0.00420119496379086,0.16149247074835,-0.0260148039368194,0.979245530613356,0.999975938893155
"3228","G0323_3228",42.3172787394976,-0.0430182065917908,0.434973216677953,-0.0988985182129979,0.921218845434318,0.999975938893155
"3229","G0323_3229",27.3242437807666,0.198350670648943,0.455762573650866,0.435206140469288,0.663412805884261,0.999975938893155
"3230","G0323_3230",60.252258800898,-0.302951684520571,0.333556778349248,-0.908246224285593,0.363748147110613,0.999975938893155
