"","gene","pvalue","log2FoldChange","stat","padj"
"411","G0411",0.999880232204111,0.0254020563894442,0.0621835674472837,0.9999989840044
"412","G0412",0.970335635182974,0.10494376017758,0.423910355961371,0.9999989840044
"413","G0413",0.999205280817157,-0.0164486189957944,-0.132663823526903,0.9999989840044
"414","G0414",0.994755678038009,-0.00574227337463668,-0.00312485642694204,0.9999989840044
"415","G0415",0.999277864870893,-0.0305584469477459,-0.0224710963488475,0.9999989840044
"416","G0416",0.997549754264894,-0.0202705872651167,-0.0299957265934409,0.9999989840044
"417","G0417",0.998406490581715,0.0400593547336451,0.0815242347520619,0.9999989840044
"418","G0418",0.97720326217134,0.0249157405672428,0.145077644453269,0.9999989840044
"419","G0419",0.999804384449998,-0.00960481956624815,-0.0278989966239446,0.9999989840044
"420","G0420",0.999933953632643,0.0308911723071239,0.114452603331134,0.9999989840044
"421","G0421",0.98649082096764,-0.0200546685285499,-0.102624248553956,0.9999989840044
"422","G0422",0.952222109561976,0.00417633278519486,0.0313121252844873,0.9999989840044
"423","G0423",0.999403639465776,-0.0291790630795501,-0.0235316738813212,0.9999989840044
"424","G0424",0.946908642769585,0.0435994559392321,0.146837251525319,0.9999989840044
"425","G0425",0.967967263972525,0.0676544686677152,0.272605183656556,0.9999989840044
"426","G0426",0.992851025567586,-0.0387831026715553,-0.0400536187051766,0.9999989840044
"427","G0427",0.99976678130293,0.0509836953371757,0.0749407896927046,0.9999989840044
"428","G0428",0.998430001835509,0.0458102923072329,0.0297905981724036,0.9999989840044
"429","G0429",0.998222344379698,-0.000662208113644731,0.0235100946344929,0.9999989840044
"430","G0430",0.999205986616492,-0.0101860061946742,-0.019332493253144,0.9999989840044
"431","G0431",0.999572615863623,-0.0479135676476076,-0.141739351012216,0.9999989840044
"432","G0432",0.980007349153989,-0.0264834309293182,0.02168024796236,0.9999989840044
"433","G0433",0.996619524381487,-0.0602500707932081,-0.186040546900651,0.9999989840044
"434","G0434",0.996962449917694,0.0641750977852067,0.24028852709954,0.9999989840044
"435","G0435",0.999843164383591,-0.00146304511683318,0.0516866030469535,0.9999989840044
"436","G0436",0.996256562041339,-0.0314002034644277,-0.0842036370939895,0.9999989840044
"437","G0437",0.995316535549486,0.0098089476350672,0.121663179535092,0.9999989840044
"438","G0438",0.969667881715149,-0.0715889757169921,-0.343176100297667,0.9999989840044
"439","G0439",0.992466481778036,0.0404956292006006,0.108486555559929,0.9999989840044
"440","G0440",0.996763482723198,0.00342062814131422,0.110931851343871,0.9999989840044
"441","G0441",0.96154318001414,0.05252739290534,0.156104316268753,0.9999989840044
"442","G0442",0.993734478314277,0.000805618287026841,-0.0283237795419876,0.9999989840044
"443","G0443",0.994243714886407,-0.0239198159682796,-0.021287615308632,0.9999989840044
"444","G0444",0.996716031436549,-0.0381715648337245,-0.00920551670699728,0.9999989840044
"445","G0445",0.940090778573011,0.0248516089525321,0.0721111749998429,0.9999989840044
"446","G0446",0.99996456418612,-0.0134646486452871,-0.0502624860566855,0.9999989840044
"447","G0447",0.999373727807865,-0.0841542371922752,-0.258454277590959,0.9999989840044
"448","G0448",0.9882784903184,-0.0835330823355119,-0.184658741021639,0.9999989840044
"449","G0449",0.904167909952265,0.0624628158185826,0.154723585061888,0.9999989840044
"450","G0450",0.998930475532224,0.0146235814434356,0.0320108472124131,0.9999989840044
"451","G0451",0.999577923123384,-0.0248345901655677,0.022561552751524,0.9999989840044
"452","G0452",0.998522539939471,-0.0888026048891706,-0.235394030575078,0.9999989840044
"453","G0453",0.999384488564993,-0.00977837730187853,0.0269709391883421,0.9999989840044
"454","G0454",0.997353613863707,0.0455660101354225,0.163109534620738,0.9999989840044
"455","G0455",0.998585957152762,-0.0496204953910837,-0.170456680419676,0.9999989840044
"456","G0456",0.991438743302443,-0.0121191244137855,-0.0916105910975764,0.9999989840044
"457","G0457",0.999777875211499,0.0322587120173569,0.0500939320611642,0.9999989840044
"458","G0458",0.998344664848204,-0.00138648027573988,-0.0194171626039229,0.9999989840044
"459","G0459",0.990842820128132,0.00273143515214716,0.0105219249943837,0.9999989840044
"460","G0460",0.995073186304414,-0.0397378237800575,-0.112339943884054,0.9999989840044
"461","G0461",0.973233494426274,0.0154637040055447,0.103793043015834,0.9999989840044
"462","G0462",0.999468503642854,-0.055515728760246,-0.175148324754469,0.9999989840044
"463","G0463",0.998295114996959,0.0837557168691632,0.211538349803686,0.9999989840044
"464","G0464",0.999854951561506,0.0216764349337823,0.0246062952087461,0.9999989840044
"465","G0465",0.996913505925234,0.0154265159808058,0.0572455376924358,0.9999989840044
"466","G0466",0.954703861478031,-0.0321058023747322,-0.0772095765955077,0.9999989840044
"467","G0467",0.988790741399307,0.0287869270738203,0.108990948310211,0.9999989840044
"468","G0468",0.999590102658973,-0.0967573560433089,-0.264398072382816,0.9999989840044
"469","G0469",0.996577303162454,0.0630226755630247,0.178017393430786,0.9999989840044
"470","G0470",0.996068549514125,0.0195698099611273,0.016005123032191,0.9999989840044
"471","G0471",0.998575969167493,0.0459186437744447,0.0740334715765611,0.9999989840044
"472","G0472",0.991939596068666,-0.0163880205464188,-0.0148935759595257,0.9999989840044
"473","G0473",0.999631594813551,-0.0330366975896738,-0.0971461549891604,0.9999989840044
"474","G0474",0.937500192436319,0.0458079013213766,0.132109529025942,0.9999989840044
"475","G0475",0.9995163457427,0.0229421310224691,0.0829136812473085,0.9999989840044
"476","G0476",0.966562037688186,0.0422582215175615,0.184907479323735,0.9999989840044
"477","G0477",0.848358949275832,-0.0257962638127771,-0.0764749514225192,0.9999989840044
"478","G0478",0.990538996914013,0.0984986794523507,0.316748056989528,0.9999989840044
"479","G0479",0.999653736912544,0.0444255152703068,0.157001322390457,0.9999989840044
"480","G0480",0.997222364564675,0.0232530418555461,-0.0204735500130174,0.9999989840044
"481","G0481",0.979501196041508,-0.114616288932762,-0.387582953486848,0.9999989840044
"482","G0482",0.982204943554955,0.0728015440381109,0.124630397242719,0.9999989840044
"483","G0483",0.995975782577847,-0.0600248227827341,-0.175825064166437,0.9999989840044
"484","G0484",0.999462735138464,0.0170682303917383,0.0962814596645906,0.9999989840044
"485","G0485",0.981605455639547,0.0354340931811606,0.0131356340218856,0.9999989840044
"486","G0486",0.998732112010024,0.00578137568659153,0.00530369912759258,0.9999989840044
"487","G0487",0.948551706806556,0.00797067809507213,0.129538997455137,0.9999989840044
"488","G0488",0.99960182905576,-0.0109688008336105,-0.0110949547368121,0.9999989840044
"489","G0489",0.997217884116794,0.107218167452537,0.27913934176654,0.9999989840044
"490","G0490",0.99032384567309,-0.0416907364645283,-0.117846933024357,0.9999989840044
"491","G0491",0.987957768874375,-0.00379078732302371,-0.0329104945369039,0.9999989840044
"492","G0492",0.949277457842564,0.109478533964766,0.246704877709633,0.9999989840044
"493","G0493",0.965741852849,-0.0828585437052523,-0.181413096550898,0.9999989840044
"494","G0494",0.999974722514267,0.033775416686348,0.124462411093956,0.9999989840044
"495","G0495",0.981684478877586,-0.0104821744612566,0.0429709141458327,0.9999989840044
"496","G0496",0.995060271808892,-0.0104432613888112,0.0146547276437006,0.9999989840044
"497","G0497",0.986102320876847,-0.0613976316034029,-0.222387317421451,0.9999989840044
"498","G0498",0.999584439615161,-0.0364541512410001,-0.0811525513756637,0.9999989840044
"499","G0499",0.99433148968653,-0.110869370511259,-0.284906938171461,0.9999989840044
"500","G0500",0.99970553457279,0.0298378289264796,0.068229670572671,0.9999989840044
"501","G0501",0.96731814254599,-0.0812325048262938,-0.235195386559732,0.9999989840044
"502","G0502",0.999983326562367,-0.00457574765961417,-0.0105543996207906,0.9999989840044
"503","G0503",0.997481034077438,-0.0393109352335171,-0.141816327178331,0.9999989840044
"504","G0504",0.991298178457776,0.0244817185732362,0.0629777349635972,0.9999989840044
"505","G0505",0.996613565180766,-0.00202079004105665,-0.0393039499112627,0.9999989840044
"506","G0506",0.999273065700336,0.00588590777859656,0.0252720081114656,0.9999989840044
"507","G0507",0.947087460588203,-0.0206104738183443,-0.237769400223644,0.9999989840044
"508","G0508",0.999820586317948,0.0587980585535698,0.178487583096651,0.9999989840044
"509","G0509",0.998130301646619,0.0119103094003514,0.0655866426299084,0.9999989840044
"510","G0510",0.99977520574779,-0.0586983893125531,-0.168790918725795,0.9999989840044
"511","G0511",0.999526424848506,-0.0265761944549061,-0.0519875774325308,0.9999989840044
"512","G0512",0.999535623414413,0.0378401909261597,0.104037643837654,0.9999989840044
"513","G0513",0.999995964890068,0.0322533178836393,0.0749119316793913,0.9999989840044
"514","G0514",0.968752120019038,-0.0467643349679119,0.0276887964873111,0.9999989840044
"515","G0515",0.978617985309522,0.053214611260422,0.253684458018336,0.9999989840044
"516","G0516",0.999990474276906,0.00058505413870042,-0.0461176986727627,0.9999989840044
"517","G0517",0.999164127174714,0.028962684960359,-0.0574600461807345,0.9999989840044
"518","G0518",0.989266289792743,-0.0620116206501823,-0.230903160348554,0.9999989840044
"519","G0519",0.999454903327526,-0.0113236623867173,-0.0506886997293622,0.9999989840044
"520","G0520",0,-4.65714727148735,-12.6882505508538,0
"521","G0521",0.992986668842777,0.0920698362306145,0.263643783878164,0.9999989840044
"522","G0522",0.997816431208183,0.0159545468672597,0.0554951535412583,0.9999989840044
"523","G0523",0.998813670810088,-0.00225006118806302,-0.0151117271458035,0.9999989840044
"524","G0524",0.997262215435225,0.0711269403051864,0.249439782295699,0.9999989840044
"525","G0525",0.996433520903737,-0.0393834061373478,-0.157243247288239,0.9999989840044
"526","G0526",0.986330835346309,-0.0725676145867771,-0.122547110540373,0.9999989840044
"527","G0527",0.997638856088132,-0.0852113680748392,-0.257546266778828,0.9999989840044
"528","G0528",0.996559557005646,-0.0144930244765801,-0.076740497753287,0.9999989840044
"529","G0529",0.999545109489008,0.00334020692661571,0.0812893440364532,0.9999989840044
"530","G0530",0.998367040532393,0.0411753399528058,0.144454865171795,0.9999989840044
"531","G0531",0.999979469075331,0.0307323666199205,0.088418221268761,0.9999989840044
"532","G0532",0.974501321287087,0.042741395148626,0.0963998455020534,0.9999989840044
"533","G0533",0.997697875087381,-0.0442236776142238,-0.19817188113596,0.9999989840044
"534","G0534",0.9951433002715,-0.0405640252589723,-0.162366763941879,0.9999989840044
"535","G0535",0.999267748112831,0.035874036447558,0.0212031963774669,0.9999989840044
"536","G0536",0.999978654634925,0.0638861015995524,0.112822940259331,0.9999989840044
"537","G0537",0.992119172530103,-0.00787416146565129,0.0516377623617088,0.9999989840044
"538","G0538",0.895361811706413,-0.0608766292158459,-0.288294807370028,0.9999989840044
"539","G0539",0.999933909254633,-0.0377127440640263,-0.107879443909412,0.9999989840044
"540","G0540",0.976693203231028,-0.031575954115247,-0.0107550325617271,0.9999989840044
"541","G0541",0.995456553608981,0.0687402720267759,0.180085186129596,0.9999989840044
"542","G0542",0.990012464692878,-0.0549984354105084,-0.160388757889108,0.9999989840044
"543","G0543",0.994370018453444,-0.0138725186706921,0.0276019582532383,0.9999989840044
"544","G0544",0.991683362990655,0.045869523781112,0.175239608779223,0.9999989840044
"545","G0545",0.973722050898923,0.0806196437589673,0.263163429347522,0.9999989840044
"546","G0546",0.99958855940926,-0.00946905080729344,-0.0163725039517404,0.9999989840044
"547","G0547",0.993477967522771,0.0193254809367881,0.0769026416365418,0.9999989840044
"548","G0548",0.977838549543286,-0.0514547481127824,-0.204779176844367,0.9999989840044
"549","G0549",0.998675029667507,-0.0456076535668715,-0.0873900916697731,0.9999989840044
"550","G0550",0.95230754331675,-0.0178132177830882,-0.00255861727196174,0.9999989840044
"551","G0551",0.986873563050445,-0.0593701580757287,-0.0510908109324322,0.9999989840044
"552","G0552",0.99985710931115,-0.0115293627205844,-0.0510431803601463,0.9999989840044
"553","G0553",0.999851033752862,0.0130596527002809,0.0951109586864647,0.9999989840044
"554","G0554",0.999775107789383,0.00553165581823389,0.00059574414980307,0.9999989840044
"555","G0555",0.99959156914315,0.0401731955666064,0.084421110481822,0.9999989840044
"556","G0556",0.990333340829151,-0.00776035797004365,-0.00707737658005263,0.9999989840044
"557","G0557",0.996659294289959,-0.0415661287827578,-0.0926526972374077,0.9999989840044
"558","G0558",0.999693720136653,-0.00161585747278129,0.0155166988174662,0.9999989840044
"559","G0559",0.999627905098497,0.0536908073808035,0.199098416557629,0.9999989840044
"560","G0560",0.99976367918369,0.00797116958762822,-0.0337718191304511,0.9999989840044
"561","G0561",0.992466386049666,0.0472202397072286,0.095084412960084,0.9999989840044
"562","G0562",0.993219911162822,0.0564168577145999,0.257691703843538,0.9999989840044
"563","G0563",0.99268737806394,0.00333192003405023,0.106255946767247,0.9999989840044
"564","G0564",0.990553178354268,-0.00858114919788733,0.00757062021432386,0.9999989840044
"565","G0565",0.998407963390822,0.088231119009353,0.257545231950702,0.9999989840044
"566","G0566",0.989394669908223,-0.00175615761458178,-0.00269200339061547,0.9999989840044
"567","G0567",0.999318488887124,-0.00325398930205174,0.0632194613688107,0.9999989840044
"568","G0568",0.950591741081647,0.0135098217834917,0.0433814927307603,0.9999989840044
"569","G0569",0.997975632020066,-0.0269810081624659,-0.0921267816798169,0.9999989840044
"570","G0570",0.995364683182548,-0.0424125212381295,-0.167783047342685,0.9999989840044
"571","G0571",0.999506523128929,-0.0739986116463179,-0.209782777251202,0.9999989840044
"572","G0572",0.94956175417925,0.0263195008604116,0.122271296577114,0.9999989840044
"573","G0573",0.999500585828024,0.092494439603859,0.195734874619319,0.9999989840044
"574","G0574",0.970517033948171,-0.0326561079959807,-0.0115388222119054,0.9999989840044
"575","G0575",0.999457612545711,-0.024351610486487,-0.0830929682798639,0.9999989840044
"576","G0576",0.999010474012252,0.00282512626394632,0.012595249992968,0.9999989840044
"577","G0577",0.982539580962996,-0.0702869462690924,-0.270021383472347,0.9999989840044
"578","G0578",0.990148664518256,0.0219957512045522,0.0867492412169493,0.9999989840044
"579","G0579",0.974151018784983,0.0839608065777174,0.341608082984448,0.9999989840044
"580","G0580",0.99994053661769,0.0333156060552143,0.122097187350016,0.9999989840044
