gene,p_value,t_value,df
G0125,0.7296827247783213,0.3455550244125844,13041.29207766887
G0126,0.987202905399966,0.016040293491753125,4854.708604177308
G0127,0.813331971238004,0.23613749308923024,8073.534745986256
G0128,0.8996113313849903,0.12615606750484254,8612.205637944406
G0129,0.9892242345667028,0.013506239824853005,8235.198580103748
G0130,0.9299906293814455,-0.08785922094620395,8535.035502646333
G0131,0.9677133825906452,-0.040477869301991376,6557.490097165656
G0132,0.9987433095407043,-0.0015751167540055844,4465.315709809676
G0133,0.9644296394431005,0.04459733528699485,6486.589737352036
G0134,0.8735582737310608,0.1591448424005803,9144.71747185267
G0135,0.9253790668248687,-0.0936627977830668,9182.649288218512
G0136,0.8701929100283547,0.16341689273174015,12199.921153934596
G0137,0.8847676699090083,0.1449329426189802,7580.027375819998
G0138,0.8842190940939729,0.14562828451778204,6896.611413859876
G0139,0.8982491631167582,0.12787907867577147,5720.214018124246
G0140,0.9938156110928393,0.007751351970179582,6629.659426574811
G0141,0.9758204607132834,0.030309780152869142,13036.155360591252
G0142,0.942310785195499,0.07236833964532997,7217.695685969886
G0143,0.9022946049182092,-0.12276805379266134,6436.911364696955
G0144,0.8757404097188732,0.15637461305266437,11854.193453730088
G0145,0.9062331065833933,0.11779567018044097,6671.239503555569
G0146,0.7925085671448937,0.26306551426034347,6388.423111878017
G0147,0.971952196249434,0.03516129521727239,6551.563959650883
G0148,0.8616014600214368,-0.17434188249069155,7550.303959004767
G0149,0.9214268183437961,0.0986409278800833,5737.88666861809
G0150,0.8748453080271037,0.15751174658642436,8464.463747811038
G0151,0.8777755245235186,0.15379570361281408,6598.729418452366
G0152,0.9453341532791046,0.06856948568829505,7431.771262162243
G0153,0.9947523323032534,0.006577291064259966,6146.337931826167
G0154,0.9844273480480075,-0.019519421547308936,6445.175790464231
G0155,0.7647974264170001,0.29919753436401314,7679.961181941685
G0156,0.9855056562517654,-0.018167550622837432,7760.491011109707
G0157,0.9003046493959435,0.1252813280915917,6599.997796802227
G0158,0.9547249525867987,-0.056776107568282906,8067.967846675967
G0159,0.7894130909283457,0.26707963103450605,10508.930938276888
G0160,0.8050648132138742,0.2468052512621282,8635.12771095823
G0161,0.9072181947204929,-0.11655319206665622,5761.061138979311
G0162,0.9577109230640384,0.05302872306638019,5572.381511030154
G0163,0.9797772840413761,0.02534898538227335,7413.51089877425
G0164,0.8456617316880932,0.19466392259421159,6968.69480243485
G0165,0.8594504332029904,0.17708359922895983,4652.1251024875255
G0166,0.9442393630899981,0.06994500897686348,7230.612893554395
G0167,0.826791786860406,0.21882509652641216,8133.516748967716
G0168,0.9808921798675918,-0.023951222163965703,7205.096329607559
G0169,0.9052017215798889,0.11909812094035774,5831.763937999155
G0170,0.0,60.2508416787132,11060.197832680571
G0171,0.9814205474712283,-0.023288661428510424,8745.083731356983
G0172,0.9408179151089637,0.07424389502154066,9304.02407502374
G0173,0.8782051788878338,0.15324935442900203,8732.817971404975
G0174,0.8984813312136419,0.12758460303524616,7097.073979584913
G0175,0.8067044043526845,0.24468846723134258,7442.161078902771
G0176,0.8504477141532356,0.18855476492679998,6457.568008474828
G0177,0.8780057777762524,-0.15350064675183228,13481.44386282439
G0178,0.9703545682101922,-0.03716446034894012,10709.936475046085
G0179,0.8410157447145359,0.20059747326003813,16921.729416096623
G0180,0.9128408207528353,-0.10945893133612491,9439.576949307233
G0181,0.9126003461698566,0.1097629756382216,7362.639338594946
G0182,0.9019237434643006,0.1232366591015831,6120.51901279127
G0183,0.8282351423029366,0.21697210359894564,8752.453730799034
G0184,0.9562114957134409,0.05490962593532417,10622.40545556632
G0185,0.9696928637713282,-0.037994483081479555,9685.369053382597
G0186,0.8546916703778238,0.18314092900379147,8780.976194609377
G0187,0.8182512966077458,0.22980465718855853,6079.6589505296515
