gene,sgRNA,p_value,t_value,grho,rho,df
G0520,G0520_5192,0.0,-98.00939546182194,4.151740550994873,4.1018476486206055,16804.664109988764
G0520,G0520_5193,0.0,-166.48627896650197,4.151740550994873,6.640755653381348,17068.055027637263
G0520,G0520_5194,0.0,-112.11652848126121,4.151740550994873,5.583751678466797,15662.695122745237
G0520,G0520_5195,0.0,-86.82978068522803,4.151740550994873,2.7747538089752197,16758.862927762766
G0520,G0520_5196,0.0,-94.85190436035359,4.151740550994873,3.7013916969299316,16816.467086760902
G0520,G0520_5197,0.0,-100.4916986737608,4.151740550994873,4.5414252281188965,15872.238197534849
G0520,G0520_5198,0.0,-97.27340840716289,4.151740550994873,4.521770000457764,15829.454888669065
G0520,G0520_5199,0.0,-97.09944956730706,4.151740550994873,3.895503520965576,16217.403304902686
G0520,G0520_5200,0.0,-78.9315368557245,4.151740550994873,1.6026949882507324,16152.867217862702
G0521,G0521_5201,0.8033267252201672,0.24905250235403775,0.426380455493927,0.37219470739364624,7802.160203297538
G0521,G0521_5202,0.8725045554980275,0.16048436923781995,0.426380455493927,0.3239595592021942,6454.843819753555
G0521,G0521_5203,0.8603965344796867,0.17587504500588055,0.426380455493927,0.38427239656448364,8050.450106272556
G0521,G0521_5204,0.7852675824345576,0.27247124211749696,0.426380455493927,0.43342462182044983,7137.429548818845
G0521,G0521_5205,0.8761616775816163,0.15584167748959088,0.426380455493927,0.43205469846725464,8150.2609710013885
G0521,G0521_5206,0.5994028911685825,0.5252799417432847,0.426380455493927,0.49963775277137756,8148.463285422088
G0521,G0521_5207,0.6719590230420565,0.42347603106266796,0.426380455493927,0.5462502241134644,8249.255816768991
G0521,G0521_5208,0.7382653415590208,0.3341627608400215,0.426380455493927,0.43162551522254944,8149.41967015219
G0521,G0521_5209,0.8154521392452043,0.2334062632715252,0.426380455493927,0.40918952226638794,7719.012284463118
G0521,G0521_5210,0.7327929908642643,0.34142532214827115,0.426380455493927,0.43119558691978455,7491.262556534091
G0522,G0522_5211,0.9704986747322615,0.036983946344812516,0.45020031929016113,0.48778602480888367,8497.08198319554
G0522,G0522_5212,0.9130166959044475,0.10923752657195698,0.45020031929016113,0.4572955071926117,8431.999005356969
G0522,G0522_5213,0.9592674125661853,0.05107457322583714,0.45020031929016113,0.4204642176628113,7755.0654802142
G0522,G0522_5214,0.895883300651473,0.1308674857439724,0.45020031929016113,0.46934282779693604,8318.442605007678
G0522,G0522_5215,0.8589810371649211,0.17767736072960189,0.45020031929016113,0.41830524802207947,7703.8702018010845
G0522,G0522_5216,0.95509022578672,0.05631748746338317,0.45020031929016113,0.3884991705417633,8410.159098368356
G0522,G0522_5217,0.9421745449727195,0.07253918948568681,0.45020031929016113,0.4749468266963959,8404.728451075716
G0522,G0522_5218,0.9017183732501242,-0.12349465649713635,0.45020031929016113,0.43524524569511414,8362.604616357548
G0522,G0522_5219,0.7589919010266652,0.3068187257621245,0.45020031929016113,0.5287670493125916,6057.034921283966
G0522,G0522_5220,0.8707642449346833,0.16269346849940014,0.45020031929016113,0.42135077714920044,7378.793810309562
G0523,G0523_5221,0.9245778147445167,0.09467321633345663,0.4086434245109558,0.42853978276252747,5542.896365192575
G0523,G0523_5222,0.9308537809596227,-0.08677445197094248,0.4086434245109558,0.45379605889320374,5819.111868115632
G0523,G0523_5223,0.8747380694174627,0.1576493983444463,0.4086434245109558,0.4601644277572632,6374.275301451124
G0523,G0523_5224,0.9312295713240522,0.08630161764999773,0.4086434245109558,0.2592763304710388,5919.685708096149
G0523,G0523_5225,0.9346504287590143,0.08200022947581347,0.4086434245109558,0.48208168148994446,4210.318117537842
G0523,G0523_5226,0.8056119301629465,0.2461010414880475,0.4086434245109558,0.4949532449245453,6382.836325541812
G0523,G0523_5227,0.9615946078742887,-0.0481547126150413,0.4086434245109558,0.4179505705833435,5773.906501014097
G0523,G0523_5228,0.921654556137804,0.09835426111693785,0.4086434245109558,0.26462510228157043,5532.150307098832
G0523,G0523_5229,0.9911519454672115,0.011090056020638256,0.4086434245109558,0.4253506362438202,6346.655750684331
G0523,G0523_5230,0.9996320427164311,-0.0004611843372788957,0.4086434245109558,0.3996964395046234,6315.564069731829
G0524,G0524_5231,0.9870505249801362,0.01623090374888375,0.45358166098594666,0.49784910678863525,9415.510265434776
G0524,G0524_5232,0.8054804588729627,0.24626778039411654,0.45358166098594666,0.4418230950832367,9174.50447576014
G0524,G0524_5233,0.7336649076085469,0.34026627274671023,0.45358166098594666,0.4774536192417145,8036.059200021804
G0524,G0524_5234,0.7444217122723691,0.32601523064380267,0.45358166098594666,0.46174031496047974,7681.740499486568
G0524,G0524_5235,0.857250477957703,0.17988065596847994,0.45358166098594666,0.4556596279144287,8644.567424827374
G0524,G0524_5236,0.7539835553042624,0.313400953765086,0.45358166098594666,0.43074163794517517,8720.231359643627
G0524,G0524_5237,0.8336043471085406,0.21008745190441508,0.45358166098594666,0.33072784543037415,8684.709964251433
G0524,G0524_5238,0.6972908749372095,0.3889920951166264,0.45358166098594666,0.48485103249549866,9325.905182973784
G0524,G0524_5239,0.8332005695372251,0.21060479963456336,0.45358166098594666,0.4520394206047058,8752.159976387926
G0524,G0524_5240,0.7529288771507447,0.3147914625389501,0.45358166098594666,0.5029311776161194,7393.701798881903
G0525,G0525_5241,0.9517450382394339,0.060517505495397556,0.4434754252433777,0.457440048456192,7731.296930908854
