gene,sgRNA,class,L1,L2,L3,L4,H1,H2,H3,H4
G0734,G0734_7333,inactive,9.444444444444445,7.791666666666669,0.9444444444444446,8.5,8.500000000000002,5.884615384615386,1.7000000000000002,6.375
G0734,G0734_7334,inactive,7.555555555555557,5.666666666666668,1.8888888888888893,6.375,1.2142857142857146,7.846153846153848,10.200000000000003,2.125
G0734,G0734_7335,inactive,13.222222222222225,11.333333333333336,14.16666666666667,8.5,3.6428571428571432,8.500000000000002,7.650000000000001,12.75
G0734,G0734_7336,inactive,2.833333333333334,6.375000000000001,2.833333333333334,4.25,7.2857142857142865,5.884615384615386,2.5500000000000007,4.25
G0734,G0734_7337,inactive,7.555555555555557,14.875000000000002,17.000000000000004,17.0,10.92857142857143,6.53846153846154,6.800000000000001,19.125
G0734,G0734_7338,inactive,8.500000000000002,2.833333333333334,1.8888888888888893,2.125,3.6428571428571432,3.26923076923077,7.650000000000001,0.0
G0734,G0734_7339,inactive,0.9444444444444446,2.1250000000000004,1.8888888888888893,2.125,0.0,1.961538461538462,3.4000000000000004,4.25
G0734,G0734_7340,inactive,28.33333333333334,19.125000000000004,19.833333333333336,17.0,23.071428571428573,18.961538461538463,16.150000000000002,21.25
G0735,G0735_7341,inactive,15.111111111111114,8.500000000000002,13.222222222222225,12.75,6.071428571428572,1.961538461538462,2.5500000000000007,6.375
G0735,G0735_7342,inactive,0.9444444444444446,0.7083333333333335,6.6111111111111125,4.25,0.0,0.653846153846154,2.5500000000000007,4.25
G0735,G0735_7343,inactive,11.333333333333336,9.91666666666667,6.6111111111111125,12.75,9.714285714285717,7.192307692307693,5.100000000000001,10.625
G0735,G0735_7344,inactive,8.500000000000002,7.083333333333335,9.444444444444445,8.5,4.8571428571428585,6.53846153846154,5.100000000000001,2.125
G0735,G0735_7345,inactive,8.500000000000002,14.16666666666667,12.27777777777778,8.5,9.714285714285717,7.846153846153848,4.250000000000001,2.125
G0735,G0735_7346,inactive,11.333333333333336,9.208333333333336,2.833333333333334,4.25,7.2857142857142865,11.115384615384617,3.4000000000000004,12.75
G0735,G0735_7347,inactive,6.6111111111111125,9.208333333333336,5.666666666666668,8.5,1.2142857142857146,6.53846153846154,3.4000000000000004,6.375
G0735,G0735_7348,inactive,9.444444444444445,8.500000000000002,4.722222222222222,2.125,9.714285714285717,4.5769230769230775,0.8500000000000001,12.75
G0735,G0735_7349,inactive,4.722222222222222,13.458333333333336,5.666666666666668,6.375,4.8571428571428585,5.230769230769232,9.350000000000001,6.375
G0735,G0735_7350,inactive,17.000000000000004,7.791666666666669,15.111111111111114,8.5,9.714285714285717,4.5769230769230775,11.900000000000002,4.25
G0736,G0736_7351,increasing,0.9444444444444446,3.5416666666666674,1.8888888888888893,6.375,0.0,15.692307692307695,2.5500000000000007,6.375
G0736,G0736_7352,increasing,14.16666666666667,7.791666666666669,9.444444444444445,0.0,27.928571428571434,11.769230769230772,27.200000000000003,8.5
G0736,G0736_7353,increasing,30.22222222222223,28.33333333333334,26.44444444444445,31.875,92.28571428571429,64.0769230769231,110.50000000000001,85.0
G0736,G0736_7354,increasing,18.88888888888889,28.33333333333334,17.944444444444446,36.12500000000001,71.64285714285715,60.15384615384617,56.10000000000001,57.37500000000001
G0736,G0736_7355,increasing,11.333333333333336,4.958333333333335,9.444444444444445,10.625,15.785714285714288,30.730769230769237,23.800000000000004,14.875
G0736,G0736_7356,increasing,4.722222222222222,21.95833333333334,6.6111111111111125,19.125,6.071428571428572,56.884615384615394,49.30000000000001,34.0
G0736,G0736_7357,increasing,3.7777777777777786,4.250000000000001,4.722222222222222,8.5,0.0,4.5769230769230775,3.4000000000000004,10.625
G0736,G0736_7358,increasing,5.666666666666668,3.5416666666666674,4.722222222222222,4.25,3.6428571428571432,5.884615384615386,1.7000000000000002,2.125
G0736,G0736_7359,increasing,27.388888888888893,23.375000000000004,14.16666666666667,23.375,68.00000000000001,53.61538461538463,64.60000000000001,53.12500000000001
G0736,G0736_7360,increasing,10.38888888888889,9.208333333333336,12.27777777777778,14.875,29.142857142857146,26.15384615384616,51.00000000000001,63.75
G0737,G0737_7361,inactive,15.111111111111114,9.91666666666667,6.6111111111111125,2.125,9.714285714285717,7.192307692307693,1.7000000000000002,4.25
G0737,G0737_7362,inactive,18.88888888888889,7.791666666666669,8.500000000000002,10.625,8.500000000000002,10.461538461538463,11.900000000000002,12.75
G0737,G0737_7363,inactive,5.666666666666668,6.375000000000001,3.7777777777777786,4.25,2.4285714285714293,5.884615384615386,0.8500000000000001,2.125
G0737,G0737_7364,inactive,0.9444444444444446,2.1250000000000004,3.7777777777777786,6.375,4.8571428571428585,2.615384615384616,0.8500000000000001,4.25
G0737,G0737_7365,inactive,0.0,5.666666666666668,0.0,0.0,1.2142857142857146,1.307692307692308,0.8500000000000001,0.0
G0737,G0737_7366,inactive,7.555555555555557,15.583333333333337,13.222222222222225,12.75,12.142857142857144,8.500000000000002,8.500000000000002,2.125
G0737,G0737_7367,inactive,9.444444444444445,4.958333333333335,15.111111111111114,17.0,8.500000000000002,11.115384615384617,11.050000000000002,8.5
