gene,p_value,t_value,df
G0088,0.7460497711855636,-0.323981435498533,693.515249876365
G0089,0.8223683678453348,-0.2246375361819833,428.3884140897179
G0090,0.7357319877072164,-0.3377022975782646,490.60210492729794
G0091,0.49895984487391276,-0.6764215351530121,837.3364707421279
G0092,0.9131054478241807,-0.10917540245601665,520.4756201958365
G0093,0.2629781950004835,-1.120555650471172,536.7197915894706
G0094,0.7685776566643794,-0.29435419396398393,675.7858817979004
G0095,0.7787359836460017,-0.28109004397658044,614.3222046759563
G0096,0.6110421335027065,-0.5088296591143006,658.240002035498
G0097,0.7991658414995264,-0.2545291847531162,661.685170329794
G0098,3.126541514575365e-08,5.552667194481443,2376.173060075729
G0099,0.6825914048152284,-0.40906205706681503,900.3573633418179
G0100,0.8275071348885863,-0.21799472351075364,601.6717509244974
G0101,0.831084073262534,-0.21337613043009576,861.6339435507673
G0102,0.29122082979165564,-1.0589884042535265,158.04926256973107
G0103,0.7363394950077815,-0.33693694582353645,403.7743953967114
G0104,0.6188977591530789,-0.4981274091405248,217.40841611619553
G0105,0.5886996551321269,-0.5410005093326895,626.1012344484544
G0106,0.6765471191923194,-0.4174236801933825,501.66715482546704
G0107,0.6756307706976332,-0.41857569464571326,859.9460365822437
G0108,0.521406517391358,-0.6414609426112646,802.0259816579544
G0109,0.6126978475972149,-0.5064463032745536,722.6608375873514
G0110,0.6254793451718985,-0.48824272240903677,1055.4234327060062
G0111,0.7757109449664696,-0.2850713094170444,486.0235278615369
G0112,0.8224948187822796,-0.2244372424941063,589.8303863811276
G0113,0.3571380122995287,-0.9214351823820678,706.0262254376186
G0114,0.7471622041066115,-0.32251276675467755,688.3112074727266
G0115,0.7863507902613687,-0.2711627794521073,658.7155038545725
G0116,0.6803103712604051,-0.41223890187452944,604.9235259630351
G0117,0.7140966655822618,-0.36654893864947646,549.2289010706763
G0118,0.6638690640527369,-0.43485730680261553,461.98018314130803
G0119,0.7036565096882978,-0.3805706901511871,600.0874200045213
G0120,0.797442869000855,-0.25672905397078233,961.4178875367646
G0121,0.6806766883907545,-0.4117556804881886,557.773020284754
G0122,0.35979592709646413,0.916004533352979,1680.681375293982
G0123,0.5860273981572814,-0.5449000968413238,592.1137299644112
G0124,0.8782076109769257,-0.15331767520174183,516.772683553631
G0125,0.821246227350948,-0.22606697732369616,476.68003492258003
G0126,0.29263658762001676,-1.0529514540829599,930.5065838959721
G0127,0.6133296082250268,-0.5055066342764098,880.1276656805364
G0128,0.5909816154990117,-0.5377015941711563,602.526768671885
G0129,0.6150165119267643,-0.5031215453926221,804.617048681707
G0130,0.8840440345749254,-0.14590736121794282,593.8274909237159
G0131,0.7765099696022333,-0.2840388224047656,454.5420379178643
G0132,0.7576833734355342,-0.3086862725573158,521.8664142592994
