gene,sgRNA,p_value,t_value,grho,rho,df
G0090,G0090_894,0.8052095065019693,-0.24672991574782716,0.3721581697463989,0.3744828701019287,548.8575431472925
G0090,G0090_895,0.8002496571583271,-0.25314965893763075,0.3721581697463989,0.3164520263671875,535.8356619574654
G0090,G0090_896,0.8134707617899761,-0.2360726670286188,0.3721581697463989,0.29428839683532715,511.6022374527606
G0090,G0090_897,0.7807803300219069,-0.2784463896748349,0.3721581697463989,0.3043821454048157,520.335626061792
G0090,G0090_898,0.6925879599273406,-0.395600277457732,0.3721581697463989,0.3974890410900116,448.6827892208874
G0090,G0090_899,0.7097612158663049,-0.37240890719039577,0.3721581697463989,0.40036964416503906,456.5942722145638
G0090,G0090_900,0.6538899737975914,-0.4486129655339881,0.3721581697463989,0.46072277426719666,542.6046916788482
G0091,G0091_901,0.7505513436143034,-0.3180055294430259,0.4900677800178528,0.35588961839675903,940.4142795539004
G0091,G0091_902,0.6404622678715444,-0.4672065528166399,0.4900677800178528,0.3618538975715637,923.9210672087947
G0091,G0091_903,0.2702580778685013,-1.1032477521845134,0.4900677800178528,0.6925563216209412,784.0739209693327
G0091,G0091_904,0.6762213517727553,-0.4177843037072889,0.4900677800178528,0.41566184163093567,769.6685405583479
G0091,G0091_905,0.5123784168091738,-0.6554050886521956,0.4900677800178528,0.4790785312652588,879.24676471799
G0091,G0091_906,0.7399666849168636,-0.3320292883020614,0.4900677800178528,0.2823162376880646,698.951236139098
G0091,G0091_907,0.16270900815292277,-1.3971800080782038,0.4900677800178528,0.8285934329032898,886.6004196403204
G0091,G0091_908,0.7186025635811304,-0.3604390855339536,0.4900677800178528,0.4232831597328186,908.7329779860443
G0091,G0091_909,0.20722197367192763,-1.2623099524736852,0.4900677800178528,0.6645065546035767,764.9653525397068
G0091,G0091_910,0.6523918370857711,-0.4506077903385525,0.4900677800178528,0.39693811535835266,816.790148107744
G0092,G0092_911,0.919424312404225,-0.10121531795066613,0.33756572008132935,0.2621351480484009,453.0745353535282
G0092,G0092_912,0.9001696744897192,-0.1255024943292053,0.33756572008132935,0.390693336725235,574.2505988003016
G0092,G0092_913,0.8138620177647891,-0.23555548269113047,0.33756572008132935,0.4122484624385834,571.4162299266491
G0092,G0092_914,0.8148048658226479,-0.23434024506428042,0.33756572008132935,0.5127309560775757,570.862342875205
G0092,G0092_915,0.9170041759215404,-0.10427471219294769,0.33756572008132935,0.26372191309928894,395.70343658885406
G0092,G0092_916,0.9836131895315141,-0.020549675967021216,0.33756572008132935,0.3078339397907257,493.55726264161655
G0092,G0092_917,0.8486440070446504,-0.19093792286475814,0.33756572008132935,0.27781590819358826,555.3733192890523
G0092,G0092_918,0.9818104707572772,-0.02280933460980955,0.33756572008132935,0.38491061329841614,561.1195700837936
G0092,G0092_919,0.9245028811579732,0.09480729853354904,0.33756572008132935,0.38025060296058655,542.7402374004912
G0092,G0092_920,0.8797417403281989,-0.1513761374238966,0.33756572008132935,0.18331599235534668,486.65866899887345
G0093,G0093_921,0.18433939804972432,-1.3291919179669858,0.5264852046966553,0.6282821297645569,546.3866871659143
G0093,G0093_922,0.32438000940998535,-0.9862722161261654,0.5264852046966553,0.5215099453926086,626.9585588558533
G0093,G0093_923,0.4142268709699819,-0.8174465836739464,0.5264852046966553,0.3337724804878235,351.57977300807903
G0093,G0093_924,0.42973582090512297,-0.790155287501547,0.5264852046966553,0.3594830632209778,626.9947978596647
G0093,G0093_925,0.004089400873912297,-2.8823752828284226,0.5264852046966553,1.1955088376998901,594.9074254677344
G0093,G0093_926,0.445017014515364,-0.7643117883985321,0.5264852046966553,0.28694403171539307,537.2507891963057
G0093,G0093_927,0.2296298966929431,-1.2030547311369577,0.5264852046966553,0.5431682467460632,421.842717516357
G0093,G0093_928,0.34411364810854383,-0.9468523789578183,0.5264852046966553,0.552098274230957,572.2556621404993
G0093,G0093_929,0.4255347762132162,-0.7973842382634547,0.5264852046966553,0.5820528268814087,616.765938747646
G0093,G0093_930,0.4914684428780465,-0.68851207985789,0.5264852046966553,0.2620323598384857,472.25556593665146
G0094,G0094_931,0.9383435301681489,-0.07738107129109462,0.4111301898956299,0.4266073405742645,669.1440716114104
G0094,G0094_932,0.8429440785791709,-0.1981981292552914,0.4111301898956299,0.4375693202018738,745.5784821565311
G0094,G0094_933,0.7535460323473706,-0.31408532844073983,0.4111301898956299,0.3742144703865051,729.4717695047963
G0094,G0094_934,0.8040519899118115,-0.24820913011816453,0.4111301898956299,0.40516918897628784,641.8652063217913
G0094,G0094_935,0.7029279322608595,-0.38152012850716666,0.4111301898956299,0.47786110639572144,732.8109320107867
G0094,G0094_936,0.891470411775851,-0.13649611168230333,0.4111301898956299,0.3745972812175751,664.9608621353191
G0094,G0094_937,0.8591336698019987,-0.17753860765002985,0.4111301898956299,0.32008013129234314,743.9391681892763
G0094,G0094_938,0.7186962702125923,-0.3604175173723022,0.4111301898956299,0.3363506495952606,471.67681397617736
G0094,G0094_939,0.8747648599523761,-0.15767148024817998,0.4111301898956299,0.2185567170381546,647.11291954099
G0094,G0094_940,0.37268149309975884,-0.8920244350745674,0.4111301898956299,0.7402957081794739,711.2985925319247
G0095,G0095_941,0.9333735387326021,-0.08363424682492714,0.42370671033859253,0.41607147455215454,636.3659981817984
G0095,G0095_942,0.7289788226503693,-0.34667455961278787,0.42370671033859253,0.2914971113204956,509.9724806518281
G0095,G0095_943,0.6083775825827789,-0.512640627396404,0.42370671033859253,0.47835996747016907,647.4113858922508
G0095,G0095_944,0.9680716661885018,-0.040041651498909425,0.42370671033859253,0.4078265428543091,680.3864133625964
G0095,G0095_945,0.636326703381485,-0.47311033509592315,0.42370671033859253,0.41230279207229614,537.0250606243997
G0095,G0095_946,0.847006002766979,0.19303255235104314,0.42370671033859253,0.3896201252937317,540.3764338883148
G0095,G0095_947,0.6923100937790236,-0.39588950821207414,0.42370671033859253,0.531001091003418,683.4559574909671
G0095,G0095_948,0.5671613501456232,-0.5725232901613834,0.42370671033859253,0.589915931224823,663.858035870106
G0095,G0095_949,0.8327358851059303,-0.2112915388257534,0.42370671033859253,0.2779163718223572,565.6544277366924
G0095,G0095_950,0.7128931447167681,-0.3681272344886854,0.42370671033859253,0.44255608320236206,678.715853060609
G0096,G0096_951,0.44057903116856934,-0.7716423165321757,0.4070376455783844,0.5091214179992676,721.2780929160351
G0096,G0096_952,0.31474950318785955,-1.00600373900659,0.4070376455783844,0.6542618274688721,724.7892452331205
G0096,G0096_953,0.6484270510395647,-0.4561639203948933,0.4070376455783844,0.3036443591117859,639.2049088559672
G0096,G0096_954,0.6922586798372956,-0.3960351671587261,0.4070376455783844,0.2880052626132965,470.33280968543806
G0096,G0096_955,0.7672658737274003,-0.2960967473604965,0.4070376455783844,0.3295276463031769,560.4791386575895
G0096,G0096_956,0.6556971466783406,-0.44604383884403787,0.4070376455783844,0.4330580234527588,733.8756987928157
G0096,G0096_957,0.793025674784003,-0.26249445203049604,0.4070376455783844,0.32204610109329224,632.9414464330359
G0096,G0096_958,0.6156016684927397,-0.5023172649540866,0.4070376455783844,0.394171804189682,702.9964714905084
G0096,G0096_959,0.7931742844014977,-0.2622860967300091,0.4070376455783844,0.2659292221069336,735.8880562981202
G0096,G0096_960,0.490931204188342,-0.6892130481314943,0.4070376455783844,0.570610523223877,660.6141519923498
G0097,G0097_961,0.6434372330536093,-0.46309758686733893,0.36402615904808044,0.4720299243927002,705.5129763047663
G0097,G0097_962,0.9366967619725648,-0.07944979108023664,0.36402615904808044,0.36846134066581726,725.9383827924653
G0097,G0097_963,0.798687972596571,-0.25516543536656966,0.36402615904808044,0.3997213542461395,566.2762400533991
G0097,G0097_964,0.7896746294695964,-0.2668315121579514,0.36402615904808044,0.40224042534828186,726.3197899079523
G0097,G0097_965,0.8657554952321478,-0.16911801328285234,0.36402615904808044,0.2211495339870453,661.7747193385364
G0097,G0097_966,0.7881232835710632,-0.26884757716859514,0.36402615904808044,0.4117688536643982,726.7275924777778
G0097,G0097_967,0.7920017793817391,-0.2638695089382258,0.36402615904808044,0.27518922090530396,448.09014349092234
G0097,G0097_968,0.8484484299004604,-0.19116754871971703,0.36402615904808044,0.3493717312812805,717.2145682333376
G0097,G0097_969,0.6824032785272403,-0.4093530841856393,0.36402615904808044,0.4096757173538208,714.316945551292
